sep=,
naziv,naslov_natjecaja,url,kategorija,iznos,iznos_je_fond,rok_tekst,uvjeti,upute_za_prijavu,napomena,poveznica_natjecaj,status,zadnje_provjereno
Grad Kutina — natječaji,,https://www.kutina.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
Grad Daruvar — stipendije,,https://daruvar.hr/stipendije/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
Grad Trogir — stipendije za đake i studente,Stipendije za đake i studente,https://trogir.hr/stipendije-za-dake-i-studente/,Grad,200 eura za studente te 100 eura za učenike,False,,Stipendije se dodjeljuju učenicima i studentima grada Trogira.,Preuzmi obrazac za prijavu | Ispuni i podnesi obrazac | Čekaj zaključenje ugovora u prosincu,"Stranica spominje 'Aktivni natječaj' za 2024./2025. godinu, ali nema konkretnog roka prijave. Natječaj se objavljuje u listopadu, a zaključenje ugovora u prosincu, ali trenutni rok nije specificiran.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:22
Grad Biograd na Moru — stipendije,Stipendije studentima Grada Biograda na Moru,https://www.biogradnamoru.hr/hr/stipendije,Grad,"200,00 EUR (dvjesto eura) mjesečno",False,trajno otvoren natječaj - do iscrpljenja sredstava,"Redoviti student koji je državljanin Republike Hrvatske, ima prebivalište na području grada Biograda na Moru prije podnošenja zahtjeva. Ne mogu se prijaviti studenti koji ponovno upisuju istu godinu, imaju mirovanje obveza studenta ili su u radnom odnosu.","Preuzmi obrazac zahtjeva s www.biogradnamoru.hr | Priloži dokaz o državljanstvu, uvjerenje o prebivalištu, potvrdu o redovnom upisu i izjavu da ne prima drugu stipendiju | Dostavi pošalom na Trg kralja Tomislava 5, putem emaila drina.besenic@biogradnamoru.hr ili online obrasca | Zahtjeve se obrađuju po redoslijedu zaprimanja | Jedinstveni upravni odjel provjerava urednost i uvjete | Gradonačelnik donosi odluku",Natječaj ima karakter trajno otvorenog natječaja. Rok za podnošenje zahtjeva ističe danom iscrpljenja financijskih sredstava. Stipendija se dodjeljuje za 10 mjeseci (listopad–srpanj akademske godine). Studenti koji primaju druge stipendije moraju se odreći njih ako dobiju stipendiju Grada Biograda.,https://www.biogradnamoru.hr/natjecaji/objava/natjecaj-za-dodjelu-stipendija-studentima-grada-biograda-na-moru-u-akademskoj-godini-2026-2027,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:22
Grad Labin — stipendiranje učenika i studenata,,https://labin.hr/za-gradane/odgoj-i-obrazovanje/stipendiranje-ucenika-i-studenata,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:23
Grad Slavonski Brod — natječaji,,https://www.slavonski-brod.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:23
Grad Metković — natječaji,Stipendije studentima Grada Metkovića,https://grad-metkovic.hr/,Grad,,False,,Studenti s prebivalištem na području Grada Metkovića koji se prijave na natječaj za akademsku godinu 2019./2020.,Preuzeti obrazac prijave za dodjelu stipendija | Popuniti Izjavu o članovima obitelji | Predati potrebnu dokumentaciju sukladno natječaju,"Tekst je stara objava iz 2019. godine, natječaj se odnosi na akademsku godinu 2019./2020., detalji o iznosu i roku nisu navedeni u dostupnom sadržaju.",https://grad-metkovic.hr/2019/10/30/natjecaj-za-dodjelu-stipendija-studentima-za-akademsku-godinu-2019-2020/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:23
Grad Đakovo — natječaji,,https://djakovo.hr/index.php/natje%C4%8Daji.html,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:23
Grad Ivanić-Grad — javni natječaji,,https://ivanic-grad.hr/javni-natjecaji/,Grad,,,,,,,,"GREŠKA — stranica nedostupna (HTTP 404), provjeriti ručno",2026-09-26T11:23
Grad Jastrebarsko — natječaji,Stipendije učenicima i studentima 2025.-2026,https://www.jastrebarsko.hr/,Grad,"Stipendija za učenike iznosi 100,00 EUR mjesečno, a za studente 150,00 EUR mjesečno.",False,20 dana od dana objave,"Pravo sudjelovanja imaju učenici drugog ili višeg razreda srednjih škola i redoviti studenti državljani RH s prebivalištem na području Grada Jastrebarskog, koji ne primaju stipendiju iz drugih izvora, nisu navršili 21 godinu (učenici) odnosno 26 godina (studenti), te ispunjavaju kriterije izvrsnosti ili socijalne situacije.","Popuniti obrazac prijave dostupan na stranicama Grada | Priložiti sve tražene dokumente (domovnica, uvjerenje o prebivalištu, potvrda upisa, svjedodžbe, IBAN, životopis) | Dostavljanje na adresu Grada putem pošte, e-maila (maja.belan@jastrebarsko.hr) ili elektronske prijave na www.jastrebarsko.hr | Prijave dostavljene nakon isteka roka neće se razmatrati","Kandidat može podnijeti prijavu za obje kategorije (izvrsnost i socijalni kriterij), ali može ostvariti pravo samo na jednu stipendiju. Stipendija se dodjeljuje za 10 mjeseci od 1. rujna 2025. godine. Deficitarna zanimanja ostvaruju dodatne bodove.",https://www.jastrebarsko.hr/jaska_info/natjecaji_i_javni_pozivi/stipendije/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:23
Grad Virovitica — stipendije,,https://www.virovitica.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:24
Grad Hvar — natječaji,,https://www.hvar.hr/portal/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:24
Grad Stari Grad — stipendije,Stipendije za učenike i studente,https://stari-grad.hr/stipendije,Grad,,False,,,,"Tekst stranice sadrži samo popis dokumenata i obrazaca. Detalji natječaja (rok, iznosi, uvjeti) nalaze se u priloženim PDF dokumentima, a nisu vidljivi u samom tekstu stranice.",,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:25
Grad Samobor — natječaji,,https://www.samobor.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:25
Grad Velika Gorica — natječaji,Stipendije za deficitarna zanimanja,https://gorica.hr/category/sluzbene-obavijesti/natjecaji/,Grad,,False,04.09.2026.,Učenici prvih razreda koji se obrazuju za deficitarna zanimanja za potrebe obrtništva.,,"Stranica sadrži samo popis natječaja s datumima. Detaljne informacije o uvjetima prijave, iznosu stipendije i uputama dostupne su na podstranici natječaja.",,ROK ISTEKAO (2026-09-04) — čeka se novi ciklus,2026-09-26T11:25
Grad Gospić — stipendije,Stipendije učenicima i studentima Grada Gospića,https://gospic.hr/gradski-programi/stipendije-grada-gospica/,Grad,"70,00 eura za učenike na području, 105,00 eura za učenike izvan područja, 105,00 eura za studente na području, 157,50 eura za studente izvan područja",False,od 21. studenoga 2024. godine do zaključno 6. prosinca 2024. godine,"Pravo ostvaruju učenici srednjih škola i studenti preddiplomskih/diplomskih studija s najmanje šest mjeseci prijavljenim prebivalištem na području Grada Gospića, sa statusom redovnog učenika/studenta, bez drugih stipendija, učenici do 20 godina i studenti do 26 godina, bez zaostajanja tijekom školovanja.","Preuzeti obrascu zahtjeva i izjave sa www.gospic.hr | Prikupiti obaveznu dokumentaciju (uvjerenje o prebivalištu, rodni list, domovnicu, potvrdu o upisu, svjedodžbe/potvrde, indeks, podatke o dohotku) | Priložiti dodatnu dokumentaciju za bodovanje ako je posjedujete | Dostaviti zahtjev s dokumentacijom na Budačka 55 ili poštom s naznakom ""Natječaj za dodjelu stipendija"" | Pratiti objavu privremene bodovne liste na www.gospic.hr i podnijeti prigovor ako treba","Grad će dodijeliti 30 stipendija: 10 za učenike srednje škole i 20 za studente. Stipendije se isplaćuju 10 mjeseci: učenicima od rujna do lipnja, studentima od listopada do srpnja. Postoji lista deficitarnih zanimanja/studija koja se stipendiraju, te lista programa koji se NEĆE stipendirati.",https://gospic.hr/gradski-programi/natjecaj-za-dodjelu-stipendija-ucenicima-i-studentima-s-podrucja-grada-gospica-za-skolsku-akademsku-godinu-2024-2025/,ROK ISTEKAO (2024-11-21) — čeka se novi ciklus,2026-09-26T11:25
Grad Vodnjan — natječaji,Stipendije Grada Vodnjan,https://www.vodnjan-dignano.hr/hr/natjecaji/,Grad,,False,najkasnije do 31. listopada tekuće godine,"Pravo na stipendiju mogu ostvariti učenici i studenti koji ispunjavaju uvjete propisane Pravilnikom. Odabir se provodi na temelju bodovanja prema kriterijima: uspjeh u prethodnoj godini obrazovanja, godina studija, uspjeh na natjecanjima znanja i sporta, materijalni položaj, socijalni uvjeti i posebne okolnosti.",Prijave se podnose isključivo na propisanom obrascu | U roku navedenom u Natječaju | Sa cijelom potrebnom dokumentacijom navedenom u Natječaju,"Broj i visina stipendija određuju se sukladno osiguranim sredstvima u Proračunu Grada. Isplata se vrši mjesečno putem IBAN-a za vrijeme trajanja obrazovnog programa (devet mjeseci, od rujna do lipnja), s prvom isplatom u prosincu za mjesece rujan, listopad i studeni. Korisnik stipendije ne može istovremeno primati druge stipendije.",https://www.vodnjan-dignano.hr/hr/djeca-i-mladi/stipendije-grada,OTVORENO (rok 2026-10-31),2026-09-26T11:25
Grad Kaštela — stipendije,Stipendije učenicima i studentima Grada Kaštela,https://kastela.hr/kategorija/stipendije/,Grad,"90,00 eura mjesečno za učenike te 160,00 eura mjesečno za studente",False,10. do 30. listopada 2025. godine,"Učenici i studenti srednjih škola i studenata koji su državljani Republike Hrvatske s prebivalištem ili boravištem na području Grada Kaštela, redoviti učenici/studenti, nisu stariji od 20/26 godina te ispunjavaju kriterije izvrsnosti, socio-ekonomskog statusa ili sportske kategorije.","Popuniti prijavnicu s izjavom o suglasnosti | Prikupiti dokaznu dokumentaciju prema kategoriji (izvrsnost, socio-ekonomski status ili sportska stipendija) | Predati kompletan dosjee prema uputama iz natječaja | Prijava se podnosi od 10. do 30. listopada 2025. godine","Ukupno se dodjeljuje 180 stipendija: 80 prema izvrsnosti (30 učenika, 50 studenata), 80 prema socio-ekonomskom statusu (30 učenika, 50 studenata) i 20 sportskih stipendija (10 učenika, 10 studenata). Stipendija se dodjeljuje za 10 mjeseci od 1. rujna 2025. godine. Detaljne upute dostupne su u priloženim dokumentima (Pravilnik, obrazac za prijavu).",https://kastela.hr/2025/10/10/natjecaj-za-dodjelu-stipendija-ucenicima-i-studentima-grada-kastela-za-skolsku-akademsku-godinu-2025-2026/,ROK ISTEKAO (2025-10-30) — čeka se novi ciklus,2026-09-26T11:26
Grad Crikvenica — djeca i mladi,Stipendije za izvrsnost učenicima i studentima,https://www.crikvenica.hr/djeca-i-mladi/,Grad,"100,00 eura mjesečno za učenike, 150,00 eura mjesečno za studente",False,05. studenog 2025.,"Redovni učenici i redovni studenti hrvatskih državljani s prebivalištem na području Grada Crikvenice. Učenici srednjih škola (3. i 4. razred) trebaju prosjek ocjena od 4,500 i više, a studenti sveučilišta prosjek od 4,000 i više.","Prijavite se na web stranici www.crikvenica.hr putem digitalnog obrasca | Prijavite se na https://som-natjecaj.eu/authentication/login (postojeći korisnici) ili https://som-natjecaj.eu/authentication/register (novi korisnici) | Priložite zahtijevane dokumente (svjedodžbu o uspjehu, uvjerenje o upisu, dokaznica o svjetskim natjecanjima) | Pošaljite prijavu do 05. studenog 2025.","Stipendija se dodjeljuje za razdoblje od 01. rujna 2025. do 30. lipnja 2026. godine (10 mjeseci). Postoje tri odvojena natječaja na stranici: za izvrsnost, prema socijalnim kriterijima i za deficitarna zanimanja.",,ROK ISTEKAO (2025-11-05) — čeka se novi ciklus,2026-09-26T11:26
Grad Kastav — stipendije,,https://kastav.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:26
Grad Ludbreg — stipendije,,https://ludbreg.hr/stipendije-grada-ludbrega/,Grad,,,,,,,,"GREŠKA — stranica nedostupna (HTTP 403), provjeriti ručno",2026-09-26T11:27
Grad Mali Lošinj — studentske stipendije,,https://mali-losinj.hr/poduzetnici/potpore-i-stipendije/lista-studentske-stipendije/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:27
Grad Vukovar — natječaji za stipendije,,https://www.vukovar.hr/gradske-vijesti/344-upravni-odjel-za-obrazovanje-sport-i-branitelje,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:27
Info centar za mlade Vukovar — stipendije,,https://www.icm-vukovar.info/category/stipendije/,Agregator,,False,,,,Stranica je popis/arhiva natječaja za stipendije bez specificiranja otvorenog natječaja. Svaki natječaj se nalazi na zasebnoj podstranici (linkovi nisu dostupni u prikazanom tekstu).,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:27
Grad Sisak — natječaji i javni pozivi,,https://sisak.hr/kategorija/natjecaji-i-javni-pozivi/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:27
Grad Čakovec — stipendije,,https://www.cakovec.hr/kategorija/gradske-vijesti/stipendije/,Grad,,False,,,,Stranica je popis obavijesti i prethodnih natječaja. Nema konkretnog otvorenog natječaja s rokom i iznosom na ovoj stranici. Za detalje trebalo bi kliknuti na pojedini natječaj.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:28
Grad Vinkovci — natječaji,,https://grad-vinkovci.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:28
ROCKWOOL — stipendije „Je li plava boja vaše latice?”,ROCKWOOL stipendije za učenike i studente,https://www.rockwool.com/hr/o-nama/drustveno-odrzivo-poslovanje/stipendije/,Tvrtka,Studentima 4.820 EUR a učenicima 1.750 EUR u akademskoj/školskoj godini,False,3.11.2025.,"Za učenike: redovito upisani u 2., 3. ili 4. razred strukovne srednje škole tehničkog usmjerenja, prosjek ocjena najmanje 3.0, uzorno ponašanje. Za studente: određenih tehničkih i društvenih fakulteta, redovito upisani u 2. ili višu godinu preddiplomskog/diplomskog studija, 54 ECTS ili više godišnje, prosjek 3.5 ili više, nisu u radnom odnosu.","Pripremite zamolbu/motivacijsko pismo, životopis s fotografijom, potvrdu o redovnom upisu, fotokopiju osobne iskaznice, svjedodžbe/ispunjene obrasce | Priložite formular o suglasnosti obrade podataka potpisan od roditelja/staratelja ili osobno (prema dobi) | Pošaljite sve dokumente u elektroničkom obliku na stipendije@rockwool.com | U subject stavite svoje ime, prezime, vrstu stipendije (učenik/student) | Rok: najkasnije do ponoći 3.11.2025. | Maksimalna veličina maila: 10 MB",Natječaj je zatvoren: 'Natječaj za stipendije 2025./2026. je zatvoren. Sretno svim prijavljenima!' Prikazani datumi odnose se na već zatvoreni natječaj.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:28
Sveučilište u Splitu — sveučilišne stipendije,Stipendije za redovite studente,https://www.unist.hr/sveucilisne-stipendije/440,Sveučilište,"150,00 eura mjesečno, 1.800,00 eura godišnje",False,,Redoviti studenti Sveučilišta u Splitu.,"Prikupiti potrebne obrasce (K1, K2, S, P) | Ispuniti i potpisati obrasce | Predati natječajnoj dokumentaciji | Čekati odluku o dodjeli stipendije",Natječaj se u pravilu objavljuje u siječnju. Do 137 stipendija godišnje. Period isplate: 1. listopada do 30. rujna akademske godine.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:28
Sveučilište u Osijeku — stipendije i potpore,,https://www.unios.hr/category/natjecaji/,Sveučilište,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:28
Info centar za mlade Osijek — natječaji,Humphrey stipendija u SAD-u,https://icm-osijek.info/natjecaji,Agregator,,False,31. srpnja 2026.,"Stipendije se dodjeljuju hrvatskim državljanima s visokom stručnom spremom (završen najmanje četverogodišnji studij ili petogodišnji diplomski studij), iskustvom u vođenju i pet godina radnog iskustva u jednom od navedenih područja te izvrsnim znanjem engleskoga jezika. Kandidati trebaju podnijeti dokaz o zaposlenju u RH.",Ispuniti online prijavu na mrežnoj stranici Veleposlanstva SAD-a | Pripremiti dodatnu dokumentaciju | Učitati dodatnu dokumentaciju elektronički uz prijavu do 31. srpnja 2026. | Za dodatna pitanja obratiti se na navedenu e-mail adresu,Stipendije nisu namijenjene za razdoblje studija niti omogućuju stjecanje akademskoga naziva u SAD-u; razmatrat će se samo prijave s potpunom dokumentacijom.,https://icm-osijek.info/natjecaji/f-stipendije,ROK ISTEKAO (2026-07-31) — čeka se novi ciklus,2026-09-26T11:28
Grad Solin — obavijesti i natječaji,,https://www.solin.hr/obavijesti/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:28
Grad Zaprešić — dokumenti i natječaji,Stipendije učenicima i studentima Grada Zaprešića,https://zapresic.hr/dokumenti/,Grad,"Za učenike iznosi 100 eura, a za studente 150 eura mjesečno",False,do 24. listopada,"Stipendije se dodjeljuju učenicima srednjih škola i studentima za školsku/akademsku godinu 2025./2026. Dodijelit će se ukupno 60 stipendija, od čega 28 učenicima srednjih škola, a 32 studentima.",Preuzmi Prijavni obrazac | Ispuni obrazac | Dostavi zahtjev do 24. listopada,"Stipendija se dodjeljuje za dvanaest mjeseci, počevši od 1. listopada 2025. godine.",https://zapresic.hr/dokumenti/natjecaj-za-dodjelu-stipendija-ucenicima-srednjih-skola-i-studentima/,OTVORENO (rok 2026-10-24),2026-09-26T11:28
Grad Dugo Selo — natječaji,,https://www.dugoselo.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:29
Grad Novi Marof — natječaji za stipendije,,https://www.novi-marof.hr/category/natjecaji-stipendije/,Grad,,,,,,,,"GREŠKA — stranica nedostupna (HTTP 403), provjeriti ručno",2026-09-26T11:29
Grad Ivanec — stipendije,,https://ivanec.hr/dokumenti/43-proracun/297-stipendija,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:29
Grad Lepoglava — natječaji,,https://www.lepoglava.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:29
Grad Varaždinske Toplice — natječaji,,https://www.varazdinske-toplice.hr/javni-natjecaji/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:29
Grad Sveta Nedelja — obavijesti i natječaji,,https://grad-svetanedelja.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Grad Vrbovec — obavijesti i natječaji,,https://vrbovec.hr,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Grad Sveti Ivan Zelina — natječaji,,https://zelina.hr/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Općina Viškovo — natječaji za stipendije,,https://opcina-viskovo.hr/,Općina,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Općina Kostrena — natječaji,,https://kostrena.hr/,Općina,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Grad Bakar — obavijesti,,https://www.bakar.hr/obavijesti-bakar-2/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Općina Matulji — natječaji,,https://www.matulji.hr/,Općina,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:30
Zaklada Novo Sutra — stipendije,,https://novosutra.hr/stipendije/,Zaklada,,,,,,,,"GREŠKA — stranica nedostupna (HTTP 404), provjeriti ručno",2026-09-26T11:31
Ministarstvo gospodarstva — stipendiranje u obrtničkim zanimanjima,,https://mingo.gov.hr/javni-pozivi-i-natjecaji-7371/javni-pozivi-i-natjecaji-ministarstva/otvoreni-javni-pozivi-i-natjecaji/7390,Ministarstvo,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
Grad Beli Manastir — natječaji,,https://www.beli-manastir.hr/natjecaji/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
Grad Valpovo — studentske stipendije,Studentske stipendije Grada Valpova,https://valpovo.hr/jedinstveni-digitalni-pristupnik/studentske-stipendije/,Grad,,False,,"Studenti koji su državljani RH, redoviti studenti, imaju prebivalište u gradu Valpovu, nisu stariji od 25 godina i nemaju drugu odobrenu stipendiju.",Preuzmi obrazac sa www.valpovo.hr | Ispuni obrazac vlastoručnim potpisom | Priloži svu potrebnu dokumentaciju u PDF formatu (max 30 MB) | Pošalji na valpovo@valpovo.hr,Iznos stipendije određuje se Odlukom Gradonačelnika zasebno za svaku akademsku godinu i nije unaprijed specificiran. Stranica nema objavljen konkretni rok za prijavu.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
Zaklada „Hrvatska za djecu” — stipendije,Stipendije učenici srednjoškolskog obrazovanja,https://www.zhzd.hr/stipendije-182/182,Zaklada,"2.000,00 EUR",False,01. listopada 2026. godine,"Učenici na redovnom srednjoškolskom obrazovanju u javnim školama Republike Hrvatske s prosječnom ocjenom najmanje 3,00, prosječnim mjesečnim prihodom po članu kućanstva ne većim od 353,15 EUR, hrvatski državljani s prebivalištem u RH, koji nisu korisnici druge stipendije.","Proučite Javni natječaj i dokumentaciju | Prikupite dokaznu dokumentaciju i skenirajte je (JPEG, PNG, PDF format) | Kreirajte e-mail adresu i otvorite bankovni račun na svoje ime | Pristupite elektroničkom obrascu prijave klikom na 'Podnesi prijavu' | Ispunite obrazac sa osobnim, kontaktnim i školskim podacima te priložite dokumente | Podnite prijavu do 01. listopada 2026. godine 23:59:59",Natječaj će dodijeliti 250 stipendija (mogu biti dodjeljene do 280 ovisno o sredstvima). Prijave se podnose isključivo putem elektroničke aplikacije na www.zhzd.hr. Učenik koji jednom podnese prijavu ne može je mijenjati ili poništavati. Po OIB-u moguće je podnijeti samo jednu prijavu. Stipendija se isplaćuje tek nakon zaključivanja ugovora.,https://www.zhzd.hr/hr/stipendije-ucenici/50,OTVORENO — rok za 5 dana (2026-10-01),2026-09-26T11:31
Zagrebačka županija — natječaji za obrazovanje,,https://www.zagrebacka-zupanija.hr/natjecaji/?kategorija=natjecaji&odjel=upravni-odjel-za-odgoj-i-obrazovanje,Županija,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
RIT Croatia — financijska potpora i stipendije,Stipendije i financijska pomoć za studente,https://www.rit.edu/croatia/financial-aid-and-scholarships,Sveučilište,1.000 – 10.000 EUR po semestru,False,15. veljace,"Ucenici zadnje godine srednje skole, transfer studenti i kandidati koji su zavrsili srednju skolu. Za financijsku pomoc potrebna je prihvacena prijava i procjena financijske situacije obitelji.",Prijavite se na studij | Oznacite DA na pitanje o financijskoj pomoci/stipendiji | Podnesi dokumente i intervjuu | Podnesite dokumentaciju o financijskoj situaciji obitelji ili stipendiji,"Iznos financijske pomoci varira od 1.000 do 10.000 EUR i dijeli se na osam semestara. Prioritet se daje prijavama do 15. veljace. Stipendije se dodjeljuju na osnovu financijskih potreba, motivacije i akademskih dostignuca.",,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:31
Sveučilište Libertas — stipendije,Stipendije za prijediplomske studente,https://www.libertas.hr/upisi/stipendije/,Sveučilište,"300.000,00 EUR",True,30. lipnja 2026.,"Državljani Republike Hrvatske odnosno osobe s prebivalištem u Republici Hrvatskoj koji će upisati prvu, drugu ili treću godinu prijediplomskog sveučilišnog ili stručnog studija.","Prepuna molbu (motivacijsko pismo) | Priloži skenirane dokumente (svjedodžbe, potvrdu o državi maturi, potvrdu o imovskom stanju) | Pošalji prijavu elektronskom prijavnicom ili e-mailom na czk@libertas.hr | Originalne dokumente dostavi pri upisu","Ovo je stipendijski fond od 300.000 EUR koji se dijeli svim stipendisima – pojedinačni iznos nije naveden. Postojeći studenti trebaju minimalni prosjek ocjena 4,2. Predbilježbe se primaju od dana objave natječaja.",,ROK ISTEKAO (2026-06-30) — čeka se novi ciklus,2026-09-26T11:31
Hrvatska školska zaklada (Croatian Scholarship Fund),,https://www.croatianscholarship.org/na-hrvatskom/,Zaklada,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
Središnji državni ured za Hrvate izvan RH — stipendije,,https://hrvatiizvanrh.gov.hr/,Ministarstvo,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
Ministarstvo obrane — stipendije za studente IT-a,Stipendije za vojne studente IT,https://www.morh.hr/dodjela-stipendija-vojnim-stipendistima-studentima-iz-podrucja-informacijsko-komunikacijskih-tehnologija/,Ministarstvo,"300,00 eura (1. godina), 400,00 eura (2. godina), 500,00 eura (3. godina), 600,00 eura (4. godina), 700,00 eura (5. godina) mjesečno",False,kraj listopada 2026.,"Redoviti studenti sveučilišnih ili stručnih studija na akreditiranim studijima iz područja elektrotehnika, računarstva, informacijsko-komunikacijskih znanosti i srodnih IT studija. Moraju biti hrvatski državljani s prebivalištem u RH najmanje godinu dana, s prosjekom najmanje 3.00, bez kaznenih presuda i nisu korisnici drugih stipendija.",Prijaviti se na javni natječaj objavljen u siječnju 2026. | Proći zdravstveni pregled u Zavodu za zrakoplovnu medicinu Zagreb ili Zavodu za pomorsku medicinu Split | Proći provjeru tjelesne spremnosti u organizaciji Središnjice za upravljanje osobljem | Potpisati Ugovor o stipendiranju ako ste odabrani,"Vojni stipendisti nakon završetka studija moraju proći Temeljnu časničku izobrazbu i ostati u vojnoj službi dvostruko duže nego što su primali stipendiju, inače moraju vratiti sve isplaćene stipendije s kamatom.",,OTVORENO (rok 2026-10-31),2026-09-26T11:31
Grad Požega — ostali natječaji,Stipendije darovitim učenicima srednjih škola,https://www.pozega.hr/natjecaji/ostali-natjecaji,Grad,"70,00 eura, mjesečno za školsku godinu 2026./2027.",False,2. listopada 2026. godine,"Učenici koji su redoviti učenici 2. - 4. razreda srednje škole, imaju prebivalište na području grada Požege najmanje 5 godina, prosjek ocjena najmanje 4,50 i su državljani Republike Hrvatske.",Prijava putem sustava ePrijave na https://eprijave.pozega.hr,,,OTVORENO — rok za 6 dana (2026-10-02),2026-09-26T11:31
Općina Velika — stipendije,,https://www.opcina-velika.hr/,Općina,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
FER Karijere — stipendije poslodavaca,,https://karijere.fer.hr/studenti/stipendije-poslodavaca/,Agregator,,,,,,,,"GREŠKA — stranica nedostupna (nepoznato), provjeriti ručno",2026-09-26T11:31
Hrvatsko katoličko sveučilište — natječaji,,https://www.unicath.hr/o-sveucilistu/natjecaji,Sveučilište,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:31
HBOR — studentska stipendija,Studentske stipendije HBOR,https://www.hbor.hr/natjecaj-za-studentske-stipendije,Tvrtka,"300,00 EUR do 600,00 EUR neto mjesečno, 12 mjeseci",False,15.3.2026.,"Redovni studenti 3. godine dodiplomskog ili 1./2. godine diplomskog studija na fakultetima s IT programima (PMF, EFZG, FER, FOI, TVZ, i dr.). Obvezno izvrsno znanje hrvatskog i engleskog jezika.","Popuni prijavni upitnik na HBOR web stranici | Dostavi životopis, potvrdu redovnog upisa i prijepis ocjena | Sudjeluj u stručnom testiranju | Sudjeluj u psihologijskom testiranju | Sudjeluj u selekcijskom razgovoru","Stipendija se isplaćuje od 1 do 3 akademske godine. Stipendist je obvezan zaposliti se u HBOR-u nakon završetka studija (IT sektor) i ostati najmanje godinu dana po akademskoj godini primanja stipendije. Ako prekine studij ili ne ispuni ugovorne obveze, mora vratiti cijeli iznos.",,ROK ISTEKAO (2026-03-15) — čeka se novi ciklus,2026-09-26T11:32
